,Home,Away,Home Team Win Probability
370,LA Clippers,Orlando Magic,0.7707914050889018
371,Atlanta Hawks,Miami Heat,0.4168190904925431
372,Minnesota Timberwolves,Los Angeles Lakers,0.5100901575425266
373,Toronto Raptors,Indiana Pacers,0.6469212957461846
374,Oklahoma City Thunder,Washington Wizards,0.8192376490291078
375,Boston Celtics,Brooklyn Nets,0.7004962102521651
376,Houston Rockets,Denver Nuggets,0.5067989791034796
377,Detroit Pistons,San Antonio Spurs,0.47988456040311045
378,Portland Trail Blazers,New York Knicks,0.887197523150274
379,Dallas Mavericks,Los Angeles Lakers,0.4987256824883418
380,Milwaukee Bucks,Utah Jazz,0.808458513855938
381,Sacramento Kings,Orlando Magic,0.6749542893797582
382,New Orleans Pelicans,Memphis Grizzlies,0.6204504037989331
383,Philadelphia 76ers,Washington Wizards,0.8492674053326487
384,Golden State Warriors,New York Knicks,0.9179630981186905
385,Phoenix Suns,Sacramento Kings,0.3392711520257439
386,Cleveland Cavaliers,Indiana Pacers,0.13157294701162495
387,Miami Heat,Denver Nuggets,0.3427718359211643
388,LA Clippers,Charlotte Hornets,0.7566933592630107
389,Toronto Raptors,Atlanta Hawks,0.8974556060452709
390,Oklahoma City Thunder,Minnesota Timberwolves,0.741133973424187
391,Los Angeles Lakers,Detroit Pistons,0.7085946111620969
392,Boston Celtics,Indiana Pacers,0.519823582016896
393,Brooklyn Nets,Atlanta Hawks,0.7609470532695767
394,Houston Rockets,Milwaukee Bucks,0.4681082011039086
395,Portland Trail Blazers,Chicago Bulls,0.8867056293436152
396,Dallas Mavericks,Phoenix Suns,0.8068876323077234
397,Utah Jazz,Orlando Magic,0.6941162528265362
398,Washington Wizards,Philadelphia 76ers,0.3103513561807634
399,Memphis Grizzlies,San Antonio Spurs,0.49229260661894203
400,New Orleans Pelicans,Cleveland Cavaliers,0.8494024946003759
401,San Antonio Spurs,Oklahoma City Thunder,0.5406572123552212
402,Miami Heat,Boston Celtics,0.4927710895166536
403,Sacramento Kings,Detroit Pistons,0.6567594201134533
404,Denver Nuggets,LA Clippers,0.7153190876250802
405,Philadelphia 76ers,Atlanta Hawks,0.8501470682922422
406,New York Knicks,Indiana Pacers,0.15287583245157957
407,Houston Rockets,Cleveland Cavaliers,0.9167816450645957
408,Golden State Warriors,Chicago Bulls,0.9188220386662875
409,Portland Trail Blazers,Charlotte Hornets,0.7647609106071629
410,Utah Jazz,Los Angeles Lakers,0.5624893080491198
411,Minnesota Timberwolves,Dallas Mavericks,0.5643489644517826
